Nome;Código;codigo
alliança;AALR3;aalr3
clearsale;CLSA3;clsa3
brisanet;BRIT3;brit3
hbr realty;HBRE3;hbre3
helbor;HBOR3;hbor3
valid;VLID3;vlid3
springs;SGPS3;sgps3
eletromidia;ELMD3;elmd3
syn;SYNE3;syne3
unifique;FIQE3;fiqe3
track & field;TFCO4;tfco4
pdg realty;PDGR3;pdgr3
technos;TECN3;tecn3
banco santander;SANB3;sanb3
vittia;VITT3;vitt3
ferbasa;FESA4;fesa4
renova energia;RNEW3;rnew3
log cp;LOGG3;logg3
unipar;UNIP6;unip6
profarma;PFRM3;pfrm3
dimed;PNVL3;pnvl3
lopes;LPSB3;lpsb3
cruzeiro do sul educacional;CSED3;csed3
eucatex;EUCA4;euca4
pine;PINE4;pine4
westwing;WEST3;west3
estapar;ALPK3;alpk3
desktop;DESK3;desk3
unicasa;UCAS3;ucas3
dexxos;DEXP3;dexp3
tecnisa;TCSA3;tcsa3
agrogalaxy;AGXY3;agxy3
usiminas;USIM3;usim3
melnick;MELK3;melk3
tegma;TGMA3;tgma3
gerdau;GGBR3;ggbr3
jereissati participações;IGTI3;igti3
iguatemi;IGTI3;igti3
ceb;CEBR6;cebr6
cambuci;CAMB3;camb3
atma;ATMP3;atmp3
log-in;LOGN3;logn3
oi;OIBR4;oibr4
rossi residencial;RSID3;rsid3
csu cardsystem;CSUD3;csud3
santanense;CTSA4;ctsa4
inepar;INEP4;inep4
banco mercantil do brasil;BMEB4;bmeb4
inepar;INEP3;inep3
pomi frutas;FRTA3;frta3
dotz;DOTZ3;dotz3
padtec;PDTC3;pdtc3
metalúrgica gerdau;GOAU3;goau3
terra santa;LAND3;land3
alper;APER3;aper3
haga;HAGA4;haga4
braskem;BRKM3;brkm3
wdc networks;LVTC3;lvtc3
ceb;CEBR3;cebr3
bradespar;BRAP3;brap3
randon;RAPT3;rapt3
alupar;ALUP3;alup3
d1000 varejo farma;DMVF3;dmvf3
unipar;UNIP3;unip3
coteminas;CTNM4;ctnm4
banco btg pactual;BPAC5;bpac5
pettenati;PTNT4;ptnt4
fertilizantes heringer;FHER3;fher3
celesc;CLSC4;clsc4
ourofino saúde animal;OFSA3;ofsa3
taurus;TASA3;tasa3
ceb;CEBR5;cebr5
whirlpool;WHRL4;whrl4
allied;ALLD3;alld3
banestes;BEES3;bees3
paranapanema;PMAM3;pmam3
wlm;WLMM4;wlmm4
joão fortes;JFEN3;jfen3
emae;EMAE4;emae4
telebras;TELB4;telb4
le lis blanc;VSTE3;vste3
alupar;ALUP4;alup4
bombril;BOBR4;bobr4
banco btg pactual;BPAC3;bpac3
coelce;COCE5;coce5
sansuy;SNSY5;snsy5
osx brasil;OSXB3;osxb3
alfa holdings;RPAD6;rpad6
hotéis othon;HOOT4;hoot4
grazziotin;CGRA4;cgra4
coelba;CEEB3;ceeb3
atom;ATOM3;atom3
electro aço altona;EALT4;ealt4
banrisul;BRSR3;brsr3
são carlos;SCAR3;scar3
biomm;BIOM3;biom3
afluente t;AFLT3;aflt3
refinaria de manguinhos;RPMG3;rpmg3
tronox pigmentos;CRPG5;crpg5
metalúrgica riosulense;RSUL4;rsul4
alfa holdings;RPAD3;rpad3
metisa;MTSA4;mtsa4
cedro têxtil;CEDO4;cedo4
nutriplant;NUTR3;nutr3
rni;RDNI3;rdni3
br properties;BRPR3;brpr3
consórcio alfa;BRGE3;brge3
equatorial energia pará;EQPA3;eqpa3
alfa investimento;BRIV4;briv4
alfa holdings;RPAD5;rpad5
alpargatas;ALPA3;alpa3
minupar;MNPR3;mnpr3
mangels;MGEL4;mgel4
banestes;BEES4;bees4
energisa;ENGI4;engi4
banco da amazônia;BAZA3;baza3
transmissão paulista;TRPL3;trpl3
energisa;ENGI3;engi3
haga;HAGA3;haga3
bahema;BAHI3;bahi3
brasil brokers;NEXP3;nexp3
grazziotin;CGRA3;cgra3
rede energia;REDE3;rede3
banese;BGIP4;bgip4
whirlpool;WHRL3;whrl3
santanense;CTSA3;ctsa3
baumer;BALM4;balm4
banco de brasília;BSLI4;bsli4
alfa financeira;CRIV4;criv4
comgás;CGAS5;cgas5
habitasul;HBTS5;hbts5
dexxos;DEXP4;dexp4
estrela;ESTR4;estr4
mundial;MNDL3;mndl3
tronox pigmentos;CRPG6;crpg6
eucatex;EUCA3;euca3
banco mercantil do brasil;BMEB3;bmeb3
teka;TEKA4;teka4
pettenati;PTNT3;ptnt3
energisa mt;ENMT3;enmt3
braskem;BRKM6;brkm6
coteminas;CTNM3;ctnm3
electro aço altona;EALT3;ealt3
energisa mt;ENMT4;enmt4
coelba;CEEB5;ceeb5
copel;CPLE5;cple5
banco do nordeste;BNBR3;bnbr3
unipar;UNIP5;unip5
celesc;CLSC3;clsc3
tekno;TKNO4;tkno4
equatorial maranhão;EQMA3B;eqma3b
cosern;CSRN3;csrn3
banco de brasília;BSLI3;bsli3
alfa investimento;BRIV3;briv3
baumer;BALM3;balm3
bardella;BDLL3;bdll3
consórcio alfa;BRGE12;brge12
jereissati participações;IGTI4;igti4
iguatemi;IGTI4;igti4
monark;BMKS3;bmks3
josapar;JOPA3;jopa3
döhler;DOHL4;dohl4
ampla energia;CBEE3;cbee3
rio paranapanema energia;GEPA4;gepa4
wetzel;MWET4;mwet4
banese;BGIP3;bgip3
comgás;CGAS3;cgas3
eletropar;LIPR3;lipr3
celgpar;GPAR3;gpar3
panatlântica;PATI4;pati4
